Country Name,Male Height in Cm,Female Height in Cm
Afghanistan,168.5,156.11
Albania,174.07,162.23
Algeria,175.04,162.35
Andorra,178.84,165.53
Angola,168.46,158.1
Antigua and Barbuda,178.84,165.72
Argentina,174.76,161.22
Armenia,173.67,159.85
Australia,178.77,164.67
Austria,178.52,166.93
Azerbaijan,174,161.37
Bahamas,174.4,163.46
Bahrain,172.76,158.29
Bangladesh,165.08,152.38
Barbados,177.03,165.66
Belarus,178.69,166.93
Belgium,179.09,163.4
Belize,170.52,158.12
Benin,168.44,158.4
Bhutan,167.05,155.15
Bolivia,168.1,155.58
Bosnia and Herzegovina,182.47,167.47
Botswana,173.16,162.06
Brazil,175.73,162.41
Brunei,166.31,154.9
Bulgaria,174.17,164.58
Burkina Faso,171.89,161.33
Burundi,167.34,155.08
Cambodia,165.35,154.75
Cameroon,172.13,160.41
Canada,178.75,164.73
Central African Republic,169.01,159.65
Chad,171.84,162.12
Chile,172.88,159.42
China,175.66,163.46
Colombia,171.85,157.96
Comoros,167.72,156.54
Costa Rica,174.04,160.36
Croatia,180.76,166.8
Cuba,173.56,160.13
Cyprus,172.75,160.55
Czech Republic,181.19,167.96
Denmark,181.89,169.47
Djibouti,170.77,159.82
Dominica,180.15,166.89
Dominican Republic,174.65,161.21
Ecuador,167.32,155.25
Egypt,174.57,160.88
El Salvador,170.67,156.39
Equatorial Guinea,168.18,158.05
Eritrea,170.6,157.58
Estonia,182.79,168.66
Ethiopia,168.84,157.15
Fiji,173.98,164.28
Finland,180.57,166.48
France,178.6,164.49
Gabon,170.48,160.05
Gambia,168.36,161.73
Georgia,175.98,163.24
Germany,180.28,166.18
Ghana,170.3,158.86
Greece,179.26,165.81
Grenada,178.7,165.99
Guatemala,164.36,150.91
Guinea,170.7,158.75
Guinea-Bissau,168.17,158.72
Guyana,172.15,159.57
Haiti,172.23,160.58
Honduras,169.59,155.18
Hungary,176.59,162.55
Iceland,182.1,168.91
India,166.5,155.18
Indonesia,166.26,154.36
Iran,175.62,161.18
Iraq,173.79,158.75
Ireland,179.04,164.5
Israel,175.98,162.22
Italy,174.42,161.81
Jamaica,176.97,164.32
Japan,172.06,158.5
Jordan,174.84,159.46
Kazakhstan,175.5,161.74
Kenya,170.46,159.43
Kiribati,170.09,161.04
Kuwait,174.96,160.1
Kyrgyzstan,171.66,160.2
Laos,162.78,153.1
Latvia,181.17,168.81
Lebanon,178.96,163.67
Lesotho,167.92,156.72
Liberia,165.48,156.54
Libya,176.39,162.56
Lithuania,180.72,167.63
Luxembourg,178.46,165.07
Madagascar,165.16,153.06
Malawi,165.68,156.14
Malaysia,169.2,157.06
Maldives,167.87,154.28
Mali,175.02,161.99
Malta,174.38,162.95
Marshall Islands,165.26,154.76
Mauritania,165.54,160.06
Mauritius,173.01,158.94
Mexico,170.29,157.9
Micronesia,169.57,159.66
Mongolia,170.67,159.89
Montenegro,183.3,169.96
Morocco,176.35,161.18
Mozambique,164.3,155.42
Myanmar,166.7,154.71
Namibia,169.75,160.26
Nauru,169.57,157.82
Nepal,164.36,152.39
Netherlands,183.78,170.36
New Zealand,177.72,164.66
Nicaragua,169.91,155.62
Niger,170.26,159.81
Nigeria,171.55,158.14
Norway,180.48,166.45
Oman,171.7,158.44
Pakistan,167.33,154.77
Palau,170.62,159.52
Panama,170.19,158.19
Papua New Guinea,163.1,156.89
Paraguay,173.81,159.76
Peru,166.75,154.39
Philippines,165.23,154.14
Poland,180.69,165.78
Portugal,174.37,161.23
Qatar,173.27,160.72
Romania,177.82,164.73
Russia,176.65,164.52
Rwanda,166.02,156.72
Saint Kitts and Nevis,173.71,162.78
Saint Lucia,176.43,165.52
Saint Vincent and the Grenadines,177.49,165.3
Samoa,174.42,163.82
Sao Tome and Principe,170.37,159.81
Saudi Arabia,170.67,158.84
Senegal,176.18,163.92
Serbia,180.74,168.29
Seychelles,175.9,162.47
Sierra Leone,166.43,157.34
Singapore,173.5,161.3
Slovakia,181.02,167.12
Slovenia,180.98,167.2
Solomon Islands,163.07,156.79
Somalia,171.22,159.86
South Africa,169.63,158.58
Spain,176.11,162.03
Sri Lanka,168.07,155.88
Sudan,172.07,160.36
Suriname,174.51,162.26
Sweden,180.46,166.67
Switzerland,178.73,164.33
Syria,171.64,159.38
Tajikistan,168.43,158.12
Thailand,171.61,159.42
Togo,170.14,159.13
Tonga,175.11,166.08
Trinidad and Tobago,176.03,163.38
Tunisia,176.85,161.69
Turkey,176.36,161.8
Turkmenistan,174.37,162.83
Tuvalu,171.3,163.57
Uganda,168.74,158.53
Ukraine,180.98,166.62
United Arab Emirates,174.08,160.53
United Kingdom,178.21,163.94
United States of America,176.94,163.31
Uruguay,174.32,161.56
Uzbekistan,170.94,160.29
Vanuatu,168.29,160.48
Venezuela,173.53,160.04
Vietnam,168.89,158.43
Yemen,164.42,154.76
Zambia,167.62,157.32
